dataset,backbone,phase,seed,trace_file,mse,mae,static_mse,static_mae,elf_mse,elf_mae,independent_mse,mse_vs_static_pct,mae_vs_static_pct,mse_vs_elf_pct,mae_vs_elf_pct,mse_vs_independent_pct
bdg2,patchtst,legacy,0,results/tsf_edge/elf_real/real_losses_legacy_bdg2_patchtst_s0.npz,0.1870291434142786,0.2863790966806186,0.2203223735026798,0.3221009568288342,0.1739726928944765,0.2671270590053757,0.1888007709097625,15.111143529867732,11.090268250025192,-7.504884992337013,-7.207071326628678,0.9383581894009564
bdg2,patchtst,legacy,1,results/tsf_edge/elf_real/real_losses_legacy_bdg2_patchtst_s1.npz,0.190940080187213,0.2899894452927979,0.2225063797094431,0.3198445830291457,0.1756422623319016,0.266440844052091,0.1912058605405497,14.186694135894207,9.334263989591252,-8.709645191431159,-8.83820996907776,0.1390022003432856
bdg2,patchtst,legacy,2,results/tsf_edge/elf_real/real_losses_legacy_bdg2_patchtst_s2.npz,0.1886286543389637,0.2878460762759817,0.2180406520239773,0.3190164642622972,0.1735212191285412,0.2643983179131066,0.190260352864367,13.489226624482498,9.77077721000853,-8.706390657174445,-8.868346269351491,0.8576135284298902
ETTh1,dlinear,refit,0,results/tsf_edge/elf_real/real_losses_refit_ETTh1_dlinear_s0.npz,0.3585637688165001,0.3870227304763065,0.3998238508098548,0.4078866380694987,0.3680035727861578,0.3872908124187839,0.3609365819713231,10.319564955862726,5.115124067789956,2.565139218130108,0.0692198043127256,0.6574044509047638
ETTh1,dlinear,refit,1,results/tsf_edge/elf_real/real_losses_refit_ETTh1_dlinear_s1.npz,0.3608421020360576,0.3880252266088111,0.399613224127353,0.406084682540996,0.3686536645156496,0.3871763048984606,0.363787609564686,9.702161928189712,4.447214265552035,2.1189433963324733,-0.2192597273154684,0.8096778040772357
ETTh1,dlinear,refit,2,results/tsf_edge/elf_real/real_losses_refit_ETTh1_dlinear_s2.npz,0.3562006101043464,0.384175272350205,0.3893195080572347,0.3986060351106976,0.3656464246317308,0.3849509472464442,0.3586289676972665,8.50686833499733,3.620307142736812,2.583319264477424,0.2014996720458906,0.6771225449278218
ETTh1,patchtst,refit,0,results/tsf_edge/elf_real/real_losses_refit_ETTh1_patchtst_s0.npz,0.3682896468156082,0.4020124153276266,0.4210708479325171,0.4299823023893913,0.3658334047330056,0.3925185260418259,0.371232713402765,12.53499295333974,6.504892621472402,-0.6714100054354688,-2.4187111323222155,0.7927821231540344
ETTh1,patchtst,refit,1,results/tsf_edge/elf_real/real_losses_refit_ETTh1_patchtst_s1.npz,0.3770845945630566,0.4075703876523563,0.4327461583775902,0.43359457234559,0.3634583055566833,0.3911979708117437,0.3808698281596607,12.862405069802229,6.001962744241062,-3.749065242986527,-4.185199837984732,0.9938391851342154
ETTh1,patchtst,refit,2,results/tsf_edge/elf_real/real_losses_refit_ETTh1_patchtst_s2.npz,0.3733524877631349,0.4072944579371222,0.4260292238720576,0.4393147040350108,0.36192512686293,0.3924253886777009,0.3770186650104729,12.364582793208168,7.288680711979268,-3.1573825777873266,-3.7890181645798826,0.9724126648308462
ETTh2,dlinear,refit,0,results/tsf_edge/elf_real/real_losses_refit_ETTh2_dlinear_s0.npz,0.1364696752856625,0.2452559243926229,0.1574857800899883,0.2735780288993586,0.1363929992268162,0.2469041418060901,0.1366068151430261,13.344763439795692,10.352477726621334,-0.0562170047443633,0.6675535701469615,0.1003902017772784
ETTh2,dlinear,refit,1,results/tsf_edge/elf_real/real_losses_refit_ETTh2_dlinear_s1.npz,0.1329272536126192,0.2415471596314914,0.1410646462955559,0.2533221605139915,0.1345617422647538,0.2437947937140468,0.1329666300282465,5.768555691755206,4.648231666194757,1.214675601419224,0.9219368667862992,0.0296137576915711
ETTh2,dlinear,refit,2,results/tsf_edge/elf_real/real_losses_refit_ETTh2_dlinear_s2.npz,0.1343851508662235,0.2434446102896359,0.1505263982113729,0.2632415475578891,0.1359248556867939,0.2456561235505007,0.1349593653766191,10.723200406671165,7.520445557287914,1.1327617842892823,0.9002475610628058,0.4254721477039647
ETTh2,patchtst,refit,0,results/tsf_edge/elf_real/real_losses_refit_ETTh2_patchtst_s0.npz,0.1404884250149456,0.2524564467539685,0.1539243298690109,0.2659269570677059,0.1365709533738029,0.2462361645153326,0.1413704230337262,8.728902614355526,5.0654925932566375,-2.868451558963847,-2.52614487026277,0.6238914759208125
ETTh2,patchtst,refit,1,results/tsf_edge/elf_real/real_losses_refit_ETTh2_patchtst_s1.npz,0.1406610578944936,0.2536241420404355,0.1664075379820362,0.3015645126549744,0.1382447819346174,0.2530937039182677,0.1410141077203656,15.471943398574885,15.897218871170182,-1.7478243490006706,-0.2095817137905076,0.2503648972286942
