dataset,backbone,phase,seed,candidate,mse,mae,static_mse,static_mae,state_bytes,mse_reduction_pct,mae_reduction_pct
ETTm1,dlinear,legacy,0,half32,0.2495606680895846,0.3284773771307037,0.2635142382218697,0.3388971904247036,4528,5.29518641058655,3.074623687774425
ETTm1,dlinear,legacy,1,half32,0.2475617642849544,0.3268443353080997,0.2623566254997903,0.3376587980789953,4528,5.639217681905917,3.2027783171713953
ETTm1,dlinear,legacy,2,half32,0.245931171628138,0.3253200983887984,0.261279788061064,0.336583064442178,4528,5.874398684577498,3.3462664177848156
ETTm1,dlinear,refit,0,half32,0.2484958782409639,0.3280927902011307,0.2640003862547807,0.3391195211912552,4528,5.872911109627599,3.2515765979469258
ETTm1,dlinear,refit,1,half32,0.2535924691118254,0.3333039570380879,0.2714258901522042,0.3471124218506225,4528,6.570272655411957,3.9780958396461563
ETTm1,dlinear,refit,2,half32,0.2383479821798452,0.3182791906050469,0.2553406141308773,0.3337978190333607,4528,6.654888024324379,4.649110192886797
ETTm1,patchtst,legacy,0,half32,0.2747507259878269,0.3456054392347155,0.3149530581001868,0.3625275199409553,4528,12.764547312181207,4.667805828643267
ETTm1,patchtst,legacy,1,half32,0.2688422873181206,0.3431516377116566,0.3319671501115121,0.3747531882814637,4528,19.015394376277005,8.432630210492654
ETTm1,patchtst,legacy,2,half32,0.2678935928090754,0.3383486531830548,0.3215011110080605,0.3614150700545651,4528,16.67413155460017,6.382250985834048
ETTm1,patchtst,refit,0,half32,0.2679213818610886,0.3403271202949992,0.3202909894711344,0.3598315111578848,4528,16.35063405827265,5.420423242012173
ETTm1,patchtst,refit,1,half32,0.2642382670359937,0.3429371233570593,0.3116047794356251,0.3632477510041613,4528,15.200829873476618,5.591398044710627
ETTm1,patchtst,refit,2,half32,0.2599005049142121,0.3333181656309445,0.2998470838676395,0.3471134999125111,4528,13.322316975095493,3.9743007071299963
ETTm2,dlinear,legacy,0,half32,0.0900221713537966,0.1983162492869231,0.0971136191848692,0.2083302455210748,4528,7.302217640116004,4.806789436216874
ETTm2,dlinear,legacy,1,half32,0.0908341376670955,0.1993276587732563,0.0966370985927592,0.2062022960647236,4528,6.004899785038143,3.333928585018975
ETTm2,dlinear,legacy,2,half32,0.0896961789385222,0.1978088621865927,0.0959383208140483,0.2057721404966221,4528,6.506411434514126,3.8699496884322504
ETTm2,dlinear,refit,0,half32,0.0900056051283647,0.1980760714204434,0.1020296539490166,0.2151515579462906,4528,11.784857005062687,7.936492158755293
ETTm2,dlinear,refit,1,half32,0.0905337718221674,0.1991952879745981,0.1037356796600981,0.2172191392258054,4528,12.72648704976751,8.29754289398551
ETTm2,dlinear,refit,2,half32,0.0911382672385618,0.2002137885727117,0.1031248961800944,0.2162797652883896,4528,11.623409463219714,7.428330937133842
ETTm2,patchtst,legacy,0,half32,0.0929392229113589,0.2009501481330311,0.1215281886361414,0.2340904681503667,4528,23.52455512225119,14.15705657696753
ETTm2,patchtst,legacy,1,half32,0.0949910059956778,0.2039111502986545,0.1086063531218815,0.2189022877298879,4528,12.53641866689339,6.848323782587206
ETTm2,patchtst,legacy,2,half32,0.0948122309730484,0.206436541375868,0.1181136857595897,0.2356635782040747,4528,19.72798887503131,12.402016913660418
ETTm2,patchtst,refit,0,half32,0.0891194908940689,0.1971502350468812,0.1284445097311806,0.2427223750192446,4528,30.616348584625676,18.77541778698818
ETTm2,patchtst,refit,1,half32,0.092083786205516,0.2020632975513618,0.1130723924280687,0.2313689894804429,4528,18.562096168527308,12.66621425580382
ETTm2,patchtst,refit,2,half32,0.0937722350479797,0.2066538481638744,0.1116529630209008,0.2344577541349278,4528,16.01455750849525,11.858812720287592
appliances,dlinear,legacy,0,half32,0.1858571429009828,0.2490888546230998,0.2325691323577364,0.2880679854013933,13192,20.085206056021875,13.531226222164205
appliances,dlinear,legacy,1,half32,0.1857782139049776,0.248854019194984,0.2338600692508773,0.2927677249626008,13192,20.560096257527015,14.999503710057683
appliances,dlinear,legacy,2,half32,0.185134711135156,0.2494023972609202,0.2466048524107622,0.3041905111067943,13192,24.92657410212563,18.011118639607815
appliances,dlinear,refit,0,half32,0.1847179038099485,0.2484388602578498,0.2214710995625274,0.277695690730193,13192,16.595030152998557,10.535572372553991
