dataset,backbone,seed,arm,mse,mae
ETTh1,patchtst,1,mae_base,0.5318157890235206,0.49034978935921286
ETTh1,patchtst,1,mae_joint_boundary,0.42352819042635204,0.44454518855945147
ETTh1,patchtst,1,mae_joint_adapter,0.5051168967069013,0.4764167276507247
ETTh1,patchtst,1,mae_joint_adapter_global,0.5065541811836631,0.4772761592926926
ETTh1,patchtst,1,sf_base,0.5419043498048265,0.4979427803904155
ETTh1,patchtst,1,sf_joint_boundary,0.42588344634709513,0.44736732260010414
ETTh1,patchtst,1,sf_joint_adapter,0.5195414823508706,0.4858674535770505
ETTh1,patchtst,1,sf_joint_adapter_global,0.5208781463588568,0.4865525786571744
ETTh1,patchtst,2,mae_base,0.5380863386327303,0.4943542313291478
ETTh1,patchtst,2,mae_joint_boundary,0.40627812661354334,0.433579085493873
ETTh1,patchtst,2,mae_joint_adapter,0.49110023214134885,0.471738691301585
ETTh1,patchtst,2,mae_joint_adapter_global,0.49251517898786745,0.4727482335032318
ETTh1,patchtst,2,sf_base,0.5351740892459039,0.48930811116932094
ETTh1,patchtst,2,sf_joint_boundary,0.4114303798565113,0.43597744605204214
ETTh1,patchtst,2,sf_joint_adapter,0.4997202946553551,0.47664655537010503
ETTh1,patchtst,2,sf_joint_adapter_global,0.5013857493127174,0.47761255349652737
ETTh2,dlinear,0,mae_base,0.16792685981176267,0.27899835393538375
ETTh2,dlinear,0,mae_joint_boundary,0.15573767102864913,0.26772760384854455
ETTh2,dlinear,0,mae_joint_adapter,0.16790756469519688,0.27763740450997676
ETTh2,dlinear,0,mae_joint_adapter_global,0.16775515174657935,0.27799039182193674
ETTh2,dlinear,0,sf_base,0.16889092125983513,0.27985488726458735
ETTh2,dlinear,0,sf_joint_boundary,0.15558932647824242,0.2677354278550034
ETTh2,dlinear,0,sf_joint_adapter,0.1679289516883014,0.2777580500107042
ETTh2,dlinear,0,sf_joint_adapter_global,0.1677175406947768,0.27806021713094164
ETTh2,dlinear,1,mae_base,0.16701704598293637,0.2756887459840062
ETTh2,dlinear,1,mae_joint_boundary,0.15176998543705694,0.2621128502988221
ETTh2,dlinear,1,mae_joint_adapter,0.1665237478171268,0.27730654233596824
ETTh2,dlinear,1,mae_joint_adapter_global,0.16699436356716663,0.2781718505561974
ETTh2,dlinear,1,sf_base,0.16554774715084677,0.27515094353668434
ETTh2,dlinear,1,sf_joint_boundary,0.15109874791487593,0.26136184931178214
ETTh2,dlinear,1,sf_joint_adapter,0.16816968599668924,0.2794656531220967
ETTh2,dlinear,1,sf_joint_adapter_global,0.1687114571906232,0.2803804534839637
ETTh2,dlinear,2,mae_base,0.1676631348735351,0.27753337136880113
ETTh2,dlinear,2,mae_joint_boundary,0.1540325817624564,0.2655165427916379
ETTh2,dlinear,2,mae_joint_adapter,0.16675923796020098,0.2778970996196893
ETTh2,dlinear,2,mae_joint_adapter_global,0.16692356161661231,0.2785189523198237
ETTh2,dlinear,2,sf_base,0.1675359521513853,0.2774652877722862
ETTh2,dlinear,2,sf_joint_boundary,0.1549620055999312,0.26679975670894396
ETTh2,dlinear,2,sf_joint_adapter,0.16817953548687084,0.27940959626424544
ETTh2,dlinear,2,sf_joint_adapter_global,0.16844208552497472,0.28008289969896716
ETTh2,patchtst,0,mae_base,0.2787488589406627,0.3612614086068516
ETTh2,patchtst,0,mae_joint_boundary,0.15167389701214595,0.26386247251888656
ETTh2,patchtst,0,mae_joint_adapter,0.2022403838917215,0.3100437405339186
ETTh2,patchtst,0,mae_joint_adapter_global,0.20243649847676998,0.3102536828399414
ETTh2,patchtst,0,sf_base,0.3096735665130409,0.3793295234166823
ETTh2,patchtst,0,sf_joint_boundary,0.15110762601535335,0.2642518619051771
ETTh2,patchtst,0,sf_joint_adapter,0.23775584678472225,0.33625723430336135
ETTh2,patchtst,0,sf_joint_adapter_global,0.23784145526027523,0.33633981426244763
ETTh2,patchtst,1,mae_base,0.25535512789261994,0.3487821585859652
ETTh2,patchtst,1,mae_joint_boundary,0.15247993262902282,0.2655285551653358
ETTh2,patchtst,1,mae_joint_adapter,0.23063556029308546,0.33121299905376356
ETTh2,patchtst,1,mae_joint_adapter_global,0.23069473297888232,0.33128286550581376
ETTh2,patchtst,1,sf_base,0.2980922430893486,0.3695143763161463
ETTh2,patchtst,1,sf_joint_boundary,0.1485333368904432,0.2622353095352023
ETTh2,patchtst,1,sf_joint_adapter,0.2299363010181633,0.3282606583120468
ETTh2,patchtst,1,sf_joint_adapter_global,0.23006899057265667,0.32837358388789833
ETTh2,patchtst,2,mae_base,0.23793785485676772,0.3393802166096962
ETTh2,patchtst,2,mae_joint_boundary,0.15460639377389962,0.2673528970266198
ETTh2,patchtst,2,mae_joint_adapter,0.19689077996796608,0.30716545328571276
ETTh2,patchtst,2,mae_joint_adapter_global,0.19692861603169226,0.3072068150159055
ETTh2,patchtst,2,sf_base,0.26542091632642284,0.3561507964153899
ETTh2,patchtst,2,sf_joint_boundary,0.1530225934072623,0.2657867646750906
ETTh2,patchtst,2,sf_joint_adapter,0.20552715225273505,0.31217309018281136
ETTh2,patchtst,2,sf_joint_adapter_global,0.20561213146477794,0.3122559185605229
ETTm1,dlinear,0,mae_base,0.2883904004712153,0.358888536060516
ETTm1,dlinear,0,mae_joint_boundary,0.26782981056048316,0.34699441130805025
