dataset,backbone,seed,phase,arm,mse,mae,static_mse,static_mae,mse_reduction_pct,mae_reduction_pct,state_bytes,lr,parameter_bytes,optimizer_bytes,context_bytes,schedule_bytes,method,cohort
bdg2,dlinear,2,legacy,proposed_global,0.192867964470807,0.2810598340009145,0.2192738890418393,0.3102973736013715,12.042439109562109,9.422425739902485,8176,,,,,,Proposed,main
bdg2,dlinear,2,legacy,static,0.2192738890418393,0.3102973736013715,0.2192738890418393,0.3102973736013715,0.0,0.0,0,,,,,,Static,main
bdg2,patchtst,0,legacy,cosa_global,0.190286428810205,0.2860890552078961,0.2203223735026798,0.3221009568288342,13.632725635151845,11.180315009146325,152156,0.005,50460.0,101044.0,80.0,44.0,COSA,main
bdg2,patchtst,0,legacy,fac_global,0.1865181107160678,0.2847017845147012,0.2203223735026798,0.3221009568288342,15.343091239075102,11.611009381138548,45216,0.01,14888.0,29800.0,0.0,0.0,FAC,main
bdg2,patchtst,0,legacy,proposed_global,0.1870291434142785,0.2863790966806185,0.2203223735026798,0.3221009568288342,15.111143529867766,11.090268250025224,8176,,,,,,Proposed,main
bdg2,patchtst,0,legacy,static,0.2203223735026798,0.3221009568288342,0.2203223735026798,0.3221009568288342,0.0,0.0,0,,,,,,Static,main
bdg2,patchtst,1,legacy,cosa_global,0.1926083304686966,0.287921317497799,0.222506379709443,0.3198445830291457,13.436940226068304,9.980867966876817,152156,0.005,50460.0,101044.0,80.0,44.0,COSA,main
bdg2,patchtst,1,legacy,fac_global,0.1873386953747402,0.2834659067591264,0.222506379709443,0.3198445830291457,15.805247643068045,11.373860368522903,45216,0.01,14888.0,29800.0,0.0,0.0,FAC,main
bdg2,patchtst,1,legacy,proposed_global,0.1909400801872131,0.2899894452927979,0.222506379709443,0.3198445830291457,14.186694135894165,9.334263989591252,8176,,,,,,Proposed,main
bdg2,patchtst,1,legacy,static,0.222506379709443,0.3198445830291457,0.222506379709443,0.3198445830291457,0.0,0.0,0,,,,,,Static,main
bdg2,patchtst,2,legacy,cosa_global,0.1909210300489016,0.2860739401259383,0.2180406520239773,0.3190164642622972,12.437874186916954,10.326277113169123,152156,0.005,50460.0,101044.0,80.0,44.0,COSA,main
bdg2,patchtst,2,legacy,fac_global,0.1871507486472537,0.283713112114923,0.2180406520239773,0.3190164642622972,14.16703861870985,11.066310395299084,45216,0.01,14888.0,29800.0,0.0,0.0,FAC,main
bdg2,patchtst,2,legacy,proposed_global,0.1886286543389637,0.2878460762759816,0.2180406520239773,0.3190164642622972,13.489226624482487,9.770777210008564,8176,,,,,,Proposed,main
bdg2,patchtst,2,legacy,static,0.2180406520239773,0.3190164642622972,0.2180406520239773,0.3190164642622972,0.0,0.0,0,,,,,,Static,main
