dataset,backbone,kind,seed,rank,arm,mse,mae,state_bytes
ETTh1,dlinear,mae,2,2,base,0.5107688730525409,0.48537925939567284,0
ETTh1,dlinear,mae,2,2,boundary,0.4434587118375748,0.4556300334859895,4528
ETTh1,dlinear,mae,2,2,adapter,0.5095932538550825,0.4850741102404796,1056
ETTh1,dlinear,mae,2,2,adapter_global,0.5097790625120835,0.4849616755743487,1584
ETTh1,dlinear,mae,2,4,base,0.49678447774942186,0.4773855118984839,0
ETTh1,dlinear,mae,2,4,boundary,0.4384293470123985,0.45274471380447967,4528
ETTh1,dlinear,mae,2,4,adapter,0.4984206474934484,0.4791352735049608,1440
ETTh1,dlinear,mae,2,4,adapter_global,0.4964468998300267,0.47740635249353763,1968
ETTh1,dlinear,sf,2,2,base,0.5041101100307248,0.4821218232029461,0
ETTh1,dlinear,sf,2,2,boundary,0.44228234988030324,0.45552865628718897,4528
ETTh1,dlinear,sf,2,2,adapter,0.5026919418126745,0.4819224200982681,1056
ETTh1,dlinear,sf,2,2,adapter_global,0.503069214844401,0.48177734712686554,1584
ETTh1,dlinear,sf,2,4,base,0.5041046320826934,0.481625922977724,0
ETTh1,dlinear,sf,2,4,boundary,0.4428332960243079,0.4556463490537215,4528
ETTh1,dlinear,sf,2,4,adapter,0.5047337161934498,0.4833665101259841,1440
ETTh1,dlinear,sf,2,4,adapter_global,0.5031459580731146,0.4816012812423425,1968
ETTh1,patchtst,mae,0,2,base,0.5500131869640071,0.5056817074386071,0
ETTh1,patchtst,mae,0,2,boundary,0.41597737637590876,0.4433602767459662,4528
ETTh1,patchtst,mae,0,2,adapter,0.5470871473498944,0.5047950758051009,1056
ETTh1,patchtst,mae,0,2,adapter_global,0.5475808704223947,0.5049500337576805,1584
ETTh1,patchtst,mae,0,4,base,0.5527918652238474,0.5083404522826857,0
ETTh1,patchtst,mae,0,4,boundary,0.4169497814040618,0.4442446997011802,4528
ETTh1,patchtst,mae,0,4,adapter,0.5508893386784037,0.507786938970069,1440
ETTh1,patchtst,mae,0,4,adapter_global,0.5508447578682875,0.5077620349549085,1968
ETTh1,patchtst,sf,0,2,base,0.5964066994025048,0.5287900279107071,0
ETTh1,patchtst,sf,0,2,boundary,0.4279705401166282,0.4531575510469283,4528
ETTh1,patchtst,sf,0,2,adapter,0.595218762284884,0.5283972625866737,1056
ETTh1,patchtst,sf,0,2,adapter_global,0.5954086619582931,0.5284480827693018,1584
ETTh1,patchtst,sf,0,4,base,0.5953198558909824,0.5286421979280254,0
ETTh1,patchtst,sf,0,4,boundary,0.4278819539637226,0.45331777886096797,4528
ETTh1,patchtst,sf,0,4,adapter,0.595733497800208,0.5294001572299015,1440
ETTh1,patchtst,sf,0,4,adapter_global,0.595192554495577,0.5287153301738231,1968
ETTh1,patchtst,mae,1,2,base,0.5250751029106744,0.4852956720143952,0
ETTh1,patchtst,mae,1,2,boundary,0.43032691409814905,0.44685448836431574,4528
ETTh1,patchtst,mae,1,2,adapter,0.5208550864939149,0.48356435788612595,1056
ETTh1,patchtst,mae,1,2,adapter_global,0.5210185676448356,0.4836834174042531,1584
ETTh1,patchtst,mae,1,4,base,0.5198394964679035,0.4821246222174888,0
ETTh1,patchtst,mae,1,4,boundary,0.42818274903809306,0.44551571381433086,4528
ETTh1,patchtst,mae,1,4,adapter,0.5135485239363813,0.47969191255549903,1440
ETTh1,patchtst,mae,1,4,adapter_global,0.5137010413364063,0.4797629929065922,1968
ETTh1,patchtst,sf,1,2,base,0.5434888602351949,0.49807849293989886,0
ETTh1,patchtst,sf,1,2,boundary,0.4352320550098521,0.452287155598457,4528
ETTh1,patchtst,sf,1,2,adapter,0.5393238725305195,0.4962876893572719,1056
